poll_time,window_end_epoch,secs_left,side,best_ask_price,best_ask_size,best_bid_price,best_bid_size,n_asks,n_bids,is_target_scenario
1788633519.1012588,1788633600,80.9,Up,0.51,168.39,0.5,15.91,49,50,False
1788633519.1012588,1788633600,80.9,Down,0.5,15.91,0.49,168.39,50,49,False
1788633522.430538,1788633600,77.6,Up,0.51,168.39,0.5,15.91,49,50,False
1788633522.430538,1788633600,77.6,Down,0.5,15.91,0.49,168.39,50,49,False
1788633525.6721122,1788633600,74.3,Up,0.51,168.39,0.5,15.91,49,50,False
1788633525.6721122,1788633600,74.3,Down,0.5,15.91,0.49,168.39,50,49,False
1788633528.855561,1788633600,71.1,Up,0.51,168.39,0.5,15.91,49,50,False
1788633528.855561,1788633600,71.1,Down,0.5,15.91,0.49,168.39,50,49,False
1788633532.164665,1788633600,67.8,Up,0.51,168.39,0.5,15.91,49,50,False
1788633532.164665,1788633600,67.8,Down,0.5,15.91,0.49,168.39,50,49,False
1788633535.403411,1788633600,64.6,Up,0.51,168.39,0.5,15.91,49,50,False
1788633535.403411,1788633600,64.6,Down,0.5,15.91,0.49,168.39,50,49,False
1788633538.7228148,1788633600,61.3,Up,0.51,168.39,0.5,15.91,49,50,False
1788633538.7228148,1788633600,61.3,Down,0.5,15.91,0.49,168.39,50,49,False
1788633541.9484646,1788633600,58.1,Up,0.51,183.39,0.5,15.91,49,50,False
1788633541.9484646,1788633600,58.1,Down,0.5,15.91,0.49,173.58,50,49,False
1788633545.2500436,1788633600,54.7,Up,0.51,168.58,0.5,15.91,49,50,False
1788633545.2500436,1788633600,54.7,Down,0.5,15.91,0.49,168.58,50,49,False
1788633548.519221,1788633600,51.5,Up,0.51,168.39,0.5,10,49,50,False
1788633548.519221,1788633600,51.5,Down,0.5,10,0.49,168.39,50,49,False
1788633551.8381448,1788633600,48.2,Up,0.51,218.39,0.5,20,49,50,False
1788633551.8381448,1788633600,48.2,Down,0.5,20,0.49,218.39,50,49,False
1788633555.1641805,1788633600,44.8,Up,0.54,126.87,0.53,12.07,45,53,False
1788633555.1641805,1788633600,44.8,Down,0.47,4.6,0.46,126.87,53,46,False
1788633558.4938378,1788633600,41.5,Up,0.54,126.87,0.53,38.8,46,53,False
1788633558.4938378,1788633600,41.5,Down,0.49,1.15,0.46,126.87,51,46,False
1788633561.8144572,1788633600,38.2,Up,0.54,10,0.53,34.4,46,52,False
1788633561.8144572,1788633600,38.2,Down,0.47,34.4,0.46,10,52,46,False
1788633565.1491847,1788633600,34.9,Up,0.56,57,0.53,9.1,44,52,False
1788633565.1491847,1788633600,34.9,Down,0.47,9.1,0.44,57,52,44,False
1788633568.391707,1788633600,31.6,Up,0.56,57,0.53,9.1,44,53,False
1788633568.391707,1788633600,31.6,Down,0.47,9.1,0.44,57,53,44,False
1788633571.70708,1788633600,28.3,Up,0.53,25,0.51,42,47,51,False
1788633571.70708,1788633600,28.3,Down,0.49,42,0.47,25,51,47,False
1788633575.0338914,1788633600,25.0,Up,0.53,25,0.51,39.93,47,51,False
